Distance,Number of Records,Recipient RECORD NUMBER,Vendor_RECORD_NUMBER,Vendor USED RECORD NUMBER,X (Recipient.csv),X,Y (Recipient.csv),Y
3.454356493,1,60,4,4,-79.464575,-79.495735,36.127697,36.084506
15.897963895,1,61,8,8,-79.412139,-79.267657,35.883287,36.081448
12.756782188,1,62,2,2,-79.46112,-79.322221,36.089325,35.942825
12.756782188,1,63,2,2,-79.46112,-79.322221,36.089325,35.942825
0.478233635,1,64,10,10,-79.431499,-79.437501,36.102364,36.097426
2.112779601,1,65,1,1,-79.464575,-79.463841,36.127697,36.097126
12.326760572,1,66,3,3,-79.412139,-79.282459,35.883287,36.02753
11.697732108,1,67,8,8,-79.47553,-79.267657,36.10252,36.081448
8.592543919,1,68,8,8,-79.420108,-79.267657,36.064702,36.081448
11.483103396,1,69,2,2,-79.454121,-79.322221,36.070234,35.942825
12.993538062,1,70,9,9,-79.347366,-79.428373,36.098954,35.922694
13.768833671,1,71,5,5,-79.262872,-79.509386,36.073835,36.076881
10.322680285,1,72,2,2,-79.263401,-79.322221,36.084439,35.942825
2.165497400,1,73,10,10,-79.474616,-79.437501,36.088332,36.097426
2.590806735,1,74,5,5,-79.47553,-79.509386,36.10252,36.076881
11.827417562,1,75,3,3,-79.488296,-79.282459,36.067552,36.02753
12.870155749,1,76,4,4,-79.266123,-79.495735,36.068592,36.084506
0.809347259,1,77,1,1,-79.476147,-79.463841,36.090936,36.097126
7.290986620,1,78,3,3,-79.260689,-79.282459,36.13157,36.02753
10.516731090,1,79,8,8,-79.455011,-79.267657,36.066152,36.081448
8.194798456,1,80,3,3,-79.422112,-79.282459,36.063797,36.02753
1.432643650,1,81,10,10,-79.46112,-79.437501,36.089325,36.097426
8.220850568,1,82,1,1,-79.340758,-79.463841,36.03189,36.097126
13.746678881,1,83,5,5,-79.263401,-79.509386,36.084439,36.076881
5.174336128,1,84,6,6,-79.40155,-79.470681,36.049345,36.099201
2.254974682,1,85,7,7,-79.475777,-79.465885,36.125354,36.093713
0.647521813,1,86,6,6,-79.476147,-79.470681,36.090936,36.099201
5.345593114,1,87,10,10,-79.533176,-79.437501,36.094521,36.097426
0.712736845,1,88,7,7,-79.455466,-79.465885,36.099673,36.093713
10.152409535,1,89,6,6,-79.525678,-79.470681,35.959166,36.099201
5.846394842,1,90,6,6,-79.438326,-79.470681,36.179676,36.099201
2.165497400,1,91,10,10,-79.474616,-79.437501,36.088332,36.097426
10.873457326,1,92,3,3,-79.455466,-79.282459,36.099673,36.02753
